,City,Country,Lat,Lng,Hotel Name
336,Châteaudun,FR,48.08,1.33,Logis Hôtel entre Beauce et Perche
337,Grindavik,IS,63.84,-22.43,Harbour View
338,Casablanca,MA,33.59,-7.62,Four Seasons Hotel Casablanca
339,Patu,BR,-6.11,-37.64,Plaza Hotel
340,Haimen,CN,23.19,116.61,
341,The Valley,AI,18.22,-63.06,"Zemi Beach House, LXR Hotels & Resorts"
342,Simbahan,PH,6.3,120.58,
343,Zhangjiakou,CN,40.81,114.88,Zhangjiakou Venice Hotel
344,Cabo San Lucas,MX,22.89,-109.91,Waldorf Astoria Los Cabos Pedregal
345,Njombe,TZ,-9.33,34.77,Hillside Hotel
346,Upington,ZA,-28.45,21.26,Allianto Boutique Hotel & Spa
347,Altagracia de Orituco,VE,9.86,-66.38,Hacienda la Quinta
348,Vanavara,RU,60.34,102.28,Russia
349,Coyhaique,CL,-45.58,-72.07,Patagonia House
350,Mariental,,-24.63,17.97,Mariental Oasis Self-Catering accommodation
351,Moyale,KE,3.52,39.06,Al Yusra Hotel
352,Stepnyak,KZ,52.83,70.78,
353,Blackfoot,US,43.19,-112.34,Best Western Blackfoot Inn
354,Turukhansk,RU,65.82,87.98,
355,High Level,CA,58.52,-117.14,Best Western Plus Mirage Hotel & Resort
356,Bengkulu,ID,-3.8,102.27,Mercure Bengkulu
357,Suba,PH,10.84,121.01,Nikki’s Pension
358,Kapit,MY,2.02,112.93,Loft Pals Urbanstay
359,Byron Bay,AU,-28.65,153.62,The Villas of Byron
360,Acajutla,SV,13.59,-89.83,Villavela Hotel Boutique
361,Le Vauclin,MQ,14.55,-60.84,Bungalows de la Prairie
362,Dattāpur,IN,20.77,78.17,Hotel Sadanand
363,Pandan,PH,14.05,124.17,Bonifacio Lodge
364,Nichinan,JP,31.6,131.37,Nazuna 飫肥 城下町温泉 -小鹿倉邸-
365,Guaymas,MX,27.93,-110.9,Hotel Playa de Cortes
366,Arraial do Cabo,BR,-22.97,-42.03,Orlanova Boutique Hotel
367,Hof,DE,50.32,11.92,Hotel Falter Hof
368,Iranshahr,IR,27.2,60.68,هتل خنونه سرزه
369,Broadford,AU,-37.2,145.07,Commercial Hotel Broadford
